position,company,salary range,brutto
Research Analyst,UAB „Kevin EU“,1400-2100,True
Junior Business Development Manager,UAB „Kevin EU“,2300-2800,True
IS vyr. inžinierius (-ė),UAB „Kardiolitos klinikos“,1620-1800,False
Android Developer,Paysera,1200-5800,True
VIDEO ŽAIDIMŲ TESTUOTOJAS (-A),UAB „Nordcurrent Group“,Nuo 1400,True
ŽAIDIMŲ DIZAINERIS (-Ė),UAB „Nordcurrent Group“,Nuo 1600,True
VIDEO ŽAIDIMŲ PROGRAMUOTOJAS (-A),UAB „Nordcurrent Group“,Nuo 2000,True
Frontend (React.js) Developer,UAB „Dokobit“,3000-6600,True
IT SISTEMŲ PLĖTROS VADOVAS (-Ė),Ignitis grupė,2101-3358,True
Elektroninės parduotuvės administratorius (-ė),MB „Shopbysiegel.com“,Nuo 650,False
IT Engineer (Service desk),UAB „FL Technics“,Nuo 1137,True
IT inžinierius,UAB „Danspin“,Nuo 2000,True
Remote Technical Client Support Specialist,Revel Systems,1352-1652,True
Sandėlio veiklos analitikas (-ė),UAB „Palink“,1600-1720,True
Sistemų testuotojas (-a),CITY SERVICE įmonių grupė,2000-2600,True
BUSINESS INTELLIGENCE ANALYST,UAB „Littelfuse LT“,Nuo 1400,True
IT BUSINESS ANALYST,UAB „EBV Finance“,3000-3800,True
Data Engineer,UAB „Cognizant Technology Solutions Lithuania“,2000-3500,True
Data analyst - Developer,UAB „Cognizant Technology Solutions Lithuania“,2120-2950,True
Analitinių sprendimų kūrėjas,S2P UAB,2500-4000,True
.NET developer,UAB „Cognizant Technology Solutions Lithuania“,2500-4000,True
IS ANALITIKAS (-Ė),UAB „Vilniaus vandenys“,Nuo 2063,True
QA Engineer,UAB „Indigroup“,4166-6250,True
Informacinių sistemų konsultantas (-ė),AB „Kauno tiltai“,1323-2315,True
Informacinių sistemų konsultantas (-ė),AB „Kauno tiltai“,1323-2315,True
Sr. Java Developer,UAB „Indigroup“,5000-6800,True
Sr. .NET Developer,UAB „Indigroup“,5000-6800,True
Linux System Administrator (Email Hosting Team),UAB „HOSTINGER“,2000,True
"Systems Engineer, SRE, Web Hosting Team",UAB „HOSTINGER“,3000,True
Linux System Administrator (Web Hosting team),UAB „HOSTINGER“,2000,True
Cyber Security Engineer,UAB „HOSTINGER“,3300-4200,True
Senior PHP developer (Tech Lead),Oxylabs,3100-5950,True
Backend Developer,Oxylabs,2950-5750,True
Product Manager (Consumer Experience),Revel Systems,4300-6000,True
Technical Client Support Specialist (Spanish),Revel Systems,1352-1652,True
